ID,Neo Reference ID,Name,Limited Name,Designation,NASA JPL URL,Absolute Magnitude (H),Min Diameter (km),Max Diameter (km),Min Diameter (m),Max Diameter (m),Min Diameter (miles),Max Diameter (miles),Min Diameter (feet),Max Diameter (feet),Is Potentially Hazardous,Close Approach Date,Close Approach Date (Full),Epoch Date Close Approach,Relative Velocity (km/s),Relative Velocity (km/h),Relative Velocity (miles/h),Miss Distance (astronomical),Miss Distance (lunar),Miss Distance (km),Miss Distance (miles),Orbiting Body
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,1900-12-27,1900-Dec-27 01:30,-2177879400000,5.5786191875,20083.0290749201,12478.8132604691,0.3149291693,122.5074468577,47112732.928149391,29274494.7651919558,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,1907-11-05,1907-Nov-05 03:31,-1961526540000,4.3944908885,15820.1671985367,9830.0366684463,0.4714855425,183.4078760325,70533232.893794475,43827318.620434755,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,1917-04-20,1917-Apr-20 21:19,-1663036860000,4.8167840184,17340.4224662258,10774.6641707501,0.499257206,194.211053134,74687814.59975122,46408855.985038036,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,1924-03-05,1924-Mar-05 22:13,-1446083220000,4.5960548855,16545.797587763,10280.915173352,0.3597864889,139.9569441821,53823292.394218643,33444243.0636095534,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,1931-01-30,1931-Jan-30 04:07,-1228247580000,5.9208185341,21314.9467227704,13244.2789789347,0.1740731458,67.7144537162,26040971.835879446,16181109.5707945148,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,1938-01-13,1938-Jan-13 22:04,-1008726960000,6.0840524046,21902.5886564605,13609.4168237879,0.2150052405,83.6370385545,32164326.017637735,19985985.424901343,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,1944-11-27,1944-Nov-27 01:41,-791936340000,3.626098636,13053.9550896485,8111.2200388986,0.4030090561,156.7705228229,60289296.383270507,37462031.6350747166,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,1961-04-04,1961-Apr-04 09:08,-275928720000,3.7078364482,13348.2112136055,8294.0593510317,0.4424921301,172.1294386089,66195880.154722887,41132212.6021023606,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,1968-02-11,1968-Feb-11 13:46,-59566440000,6.0668849725,21840.7859008821,13571.014994912,0.2662714057,103.5795768173,39833635.134625859,24751473.1315964942,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.0067027115,49.2084832235,22006.7027114738,49208.4832234845,13.6743268705,30.5767244291,72200.4705239119,161445.1600989368,False,1975-01-23,1975-Jan-23 07:39,159694740000,5.8253076833,20971.1076598791,13030.6307567732,0.1511341909,58.7912002601,22609353.042813383,14048800.5292673654,Earth
